;order;sourcename;fieldname;stap_toevoegen;stap_bereken;type;lengte;alias;expression;mag_niet_0_zijn;Toelichting;opmerking;Bron
59;60;;PI_GEM_G;st2a;07_ber;DOUBLE;;% Gemengd riool;[HA_GEM_G]/[HA_BEM_G]*100;HA_BEM_G;Totaal aan verhard oppervlak aangesloten op Gemengd in gebied (%);;Berekend
60;61;;PI_HWA_G;st2a;07_ber;DOUBLE;;% HWA;[HA_HWA_G]/[HA_BEM_G]*100;HA_BEM_G;Totaal aan verhard oppervlak aangesloten op HWA in gebied (%);;Berekend
61;62;;PI_VGS_G;st2a;07_ber;DOUBLE;;% VGS;[HA_VGS_G]/[HA_BEM_G]*100;HA_BEM_G;Totaal aan verhard oppervlak aangesloten op VGS in gebied (%);;Berekend
62;63;;PI_VWR_G;st2a;07_ber;DOUBLE;;% Vuilwaterriool;[HA_VWR_G]/[HA_BEM_G]*100;HA_BEM_G;Totaal aan verhard oppervlak aangesloten op 'Oppervlaktewater' in gebied (%);;Berekend
63;64;;PI_INF_G;st2a;07_ber;DOUBLE;;% Infiltratievoorziening;[HA_INF_G]/[HA_BEM_G]*100;HA_BEM_G;Totaal aan verhard oppervlak aangesloten op 'Oppervlaktewater' in gebied (%);;Berekend
64;65;;PI_OPW_G;st2a;07_ber;DOUBLE;;% Open water;[HA_OPW_G]/[HA_BEM_G]*100;HA_BEM_G;Totaal aan verhard oppervlak aangesloten op 'Oppervlaktewater' in gebied (%);;Berekend
65;66;;PI_MVD_G;st2a;07_ber;DOUBLE;;% Maaiveld;[HA_MVD_G]/[HA_BEM_G]*100;HA_BEM_G;Totaal aan verhard oppervlak aangesloten op 'Niet aangesloten' in gebied (%);;Berekend
66;67;;PI_OBK_G;st2a;07_ber;DOUBLE;;% Onbekend;[HA_OBK_G]/[HA_BEM_G]*100;HA_BEM_G;"Totaal aan verhard oppervlak aangesloten op 'Onbekend"" in gebied (%)";;Berekend
67;68;;BERG_ST_MM;st1a;08_ber;DOUBLE;;Berging stelsel (G) (mm);[BergendVermogen]/[HA_TOT_G]/10;HA_TOT_G;Inhoud stelsel uit Kikker in berekend in mm;;Berekend
68;69;;VULTIJD_U;st1a;08_ber;DOUBLE;;Vultijd (uur, (tijdens droogweer));[BergendVermogen]/[DWR_TOT];DWR_TOT;Inhoud gedeeld door aanvoer (Berging / DWA) in uur;;Berekend
69;70;;OPP_PER_M2;st1a;08_ber;DOUBLE;;Oppervlak per perceel (G) (m2);[HA_TOT_G]*10000/[X_WON_GEB];X_WON_GEB;Verhard oppervlak*10000/Aantal woningen;;Berekend
70;71;;POC_O_M3_G;st2a;08_ber;DOUBLE;;POC ontwerp (G) (m3/h);([HA_GEM_G]*10*0.7)+([HA_VGS_G]*10*0.3);;Ontwerp POC obv verhard oppervlak (gem=0,7 & vgs=0,3);;Berekend
